32.1184268 -110.7898743	06/19/2010	sus	1006190744
32.1185060 -110.8044806	06/09/2010	dis	1006090078
32.1189009 -110.7727167	05/28/2010	sus	1005280679
32.1189345 -110.7726932	06/09/2010	dru	1006090408
32.1190156 -110.7972779	05/29/2010	sus	1005290280
32.1190358 -110.7972836	05/23/2010	van	1005221023
32.1190588 -110.8045234	06/28/2010	sus	1006280700
32.1194945 -110.9678283	06/08/2010	ass	1006070551
32.1204722 -110.9675971	06/08/2010	dru	1006080496
32.1205938 -110.9814994	06/28/2010	sus	1006280740
32.1207612 -110.9742081	05/27/2010	ass	1005270825
32.1208855 -110.9742604	06/20/2010	ass	1006200369
32.1216341 -110.8623495	06/09/2010	van	1006090437
32.1216634 -110.8579633	06/26/2010	dui	1006260593
32.1218060 -110.9818820	05/25/2010	ass	1005250618
32.1218540 -110.8583940	05/23/2010	ass	1005230233
32.1219935 -110.9800648	06/27/2010	dis	1006270170
32.1222078 -110.8666614	05/22/2010	bur	1005220507
32.1222410 -110.9719630	06/16/2010	bur	1006160190
32.1226300 -110.9782730	05/30/2010	van	1005300217
32.1231386 -110.9678873	05/28/2010	ass	1005280947
32.1231416 -110.9648520	05/30/2010	ass	1005300076
32.1231416 -110.9648520	06/01/2010	sus	1006010340
32.1231416 -110.9648520	06/02/2010	dis	1006020551
32.1231424 -110.9690662	06/02/2010	ass	1006020369
32.1231424 -110.9690662	06/26/2010	ars	1006260053
32.1231658 -110.9690734	05/25/2010	veh	1005250563
32.1231658 -110.9690734	06/23/2010	sus	1006230255
32.1232072 -110.9348543	05/28/2010	ass	1005280481
32.1234654 -110.9801805	06/22/2010	van	1006220325
32.1237908 -110.8665124	06/19/2010	sus	1006190434
32.1241373 -110.9787628	06/20/2010	ass	1006200585
32.1245884 -110.8663720	06/03/2010	van	1006020784
32.1247000 -110.9358610	06/19/2010	ass	1006190171
32.1247000 -110.9358610	06/19/2010	sus	1006190022
32.1247000 -110.9358610	06/24/2010	veh	1006240119
32.1247775 -110.9749674	06/16/2010	ass	1006160019
32.1247775 -110.9749674	06/24/2010	van	1006240083
32.1248963 -110.9777371	06/08/2010	the	1006080305
32.1254060 -110.8615210	06/10/2010	sus	1006100054
32.1254060 -110.8615210	06/26/2010	sus	1006260187
32.1254197 -110.8612316	06/08/2010	ass	1006080580
32.1257475 -110.9859926	06/01/2010	sex	1006010629
32.1257475 -110.9859926	06/17/2010	ass	1006170830
32.1258290 -110.9699930	05/29/2010	sus	1005290699
32.1264780 -110.9220400	06/12/2010	bur	1006120211
32.1264780 -110.9220400	06/13/2010	van	1006130253
32.1264870 -110.9672550	06/11/2010	ass	1006100734
32.1266083 -110.9777377	06/02/2010	van	1006020480
32.1266654 -110.9839546	05/25/2010	sus	1005250729
32.1266881 -110.9797789	06/16/2010	the	1006160602
32.1267062 -110.9775767	06/15/2010	sus	1006150814
32.1267153 -110.9762039	06/26/2010	dru	1006260713
32.1267640 -110.9690851	06/21/2010	bur	1006210094
32.1267709 -110.9706822	05/29/2010	van	1005290777
32.1267724 -110.9647865	06/20/2010	ass	1006200770
32.1268057 -110.9347342	06/10/2010	fra	1006100247
32.1268060 -110.9310977	05/27/2010	veh	1005270529
32.1268074 -110.9302229	06/14/2010	bur	1006140184
32.1268092 -110.9349709	06/03/2010	fra	1006030172
32.1268092 -110.9349709	06/10/2010	fra	1006100361
32.1268092 -110.9349709	06/23/2010	veh	1006230176
32.1269370 -110.9795120	06/27/2010	van	1006270646
32.1271547 -110.8665771	06/19/2010	sus	1006190790
32.1275512 -110.9840023	06/14/2010	fra	1006145201
32.1277476 -110.9808096	05/25/2010	sus	1005250743
32.1278930 -110.8669320	06/13/2010	sus	1006120886
32.1281508 -110.9777423	05/22/2010	fra	1005220365
32.1285475 -110.9733486	05/22/2010	sus	1005220916
32.1285616 -110.9670562	05/31/2010	veh	1005310599
32.1285780 -110.9662268	05/29/2010	sus	1005290161
32.1286447 -110.9057968	05/26/2010	fra	1005260238
32.1288174 -110.9176591	05/31/2010	sus	1005310611
32.1292878 -110.9955339	06/15/2010	sus	1006150324
32.1292927 -110.9799061	05/28/2010	sus	1005280231
32.1297890 -110.9837912	06/07/2010	sus	1006070151
32.1299626 -111.0081096	05/29/2010	sus	1005290743
32.1300830 -111.0096610	06/15/2010	ass	1006150694
32.1303378 -110.9745178	06/21/2010	dru	1006200777
32.1303382 -110.9755414	06/01/2010	bur	1006010398
32.1303382 -110.9755414	06/28/2010	veh	1006280209
32.1303544 -110.9722749	05/26/2010	sus	1005260631
32.1303559 -110.9744983	06/06/2010	dru	1006050813
32.1304530 -111.0093910	06/21/2010	bur	1006210181
32.1307630 -110.9821110	06/21/2010	dis	1006210609
32.1307630 -110.9821110	06/23/2010	sus	1006230309
32.1307630 -110.9821110	06/27/2010	bur	1006270457
32.1315669 -111.0090205	06/19/2010	ass	1006190442
32.1318340 -110.9967645	05/26/2010	fra	1005260234
32.1318610 -110.9318100	06/24/2010	veh	1006240433
32.1320819 -110.9358810	06/26/2010	fra	1006260500
32.1321421 -110.9755508	06/16/2010	fra	1006160224
32.1321488 -110.9745237	06/08/2010	van	1006080158
32.1321627 -110.9840167	06/28/2010	ars	1006280088
32.1321740 -110.9691608	06/23/2010	dis	1006230032
32.1329077 -110.9840100	06/03/2010	ass	1006030090
32.1334500 -110.9272990	06/10/2010	dis	1006100356
32.1335500 -110.9781280	06/22/2010	sus	1006220294
32.1336840 -110.9683100	05/22/2010	van	1005220281
32.1337117 -110.9988655	05/22/2010	sus	1005220827
32.1337117 -110.9988655	05/31/2010	dru	1005310153
32.1337117 -110.9988655	06/12/2010	veh	1006120566
32.1338365 -110.9961871	06/02/2010	dru	1006020344
32.1338365 -110.9961871	06/03/2010	the	1006030749
32.1338365 -110.9961871	06/14/2010	the	1006140140
32.1338365 -110.9961871	06/22/2010	the	1006220340
32.1338365 -110.9961871	06/23/2010	sus	1006230700
32.1338365 -110.9961871	06/24/2010	ass	1006240658
32.1338469 -110.9796714	06/27/2010	dru	1006270152
32.1338750 -110.9989831	06/17/2010	the	1006170512
32.1338954 -110.9778353	05/24/2010	ass	1005240409
32.1338954 -110.9778353	06/10/2010	ass	1006100481
32.1338954 -110.9778353	06/27/2010	ass	1006260791
32.1339073 -111.0075302	06/17/2010	van	1006170851
32.1340064 -110.9819728	05/29/2010	dis	1005290500
32.1340104 -110.9796956	05/27/2010	sus	1005270836
32.1340135 -110.9438906	05/23/2010	veh	1005230270
32.1340229 -110.9332382	05/26/2010	sus	1005260446
32.1340229 -110.9332382	05/27/2010	the	1005270176
32.1340229 -110.9332382	06/08/2010	the	1006080083
32.1340279 -110.9260948	06/02/2010	the	1006020508
32.1340279 -110.9260948	06/08/2010	bur	1006080071
32.1340295 -110.9261392	05/30/2010	sus	1005300111
32.1340665 -110.9778539	05/25/2010	ass	1005250015
32.1340712 -110.9767080	05/24/2010	ass	1005240415
32.1340712 -110.9767080	06/01/2010	sus	1006010437
32.1340712 -110.9767080	06/05/2010	the	1006050294
32.1340712 -110.9767080	06/19/2010	sus	1006190564
32.1340712 -110.9767080	06/19/2010	the	1006190652
32.1340712 -110.9767080	06/27/2010	sus	1006270433
32.1340772 -110.9757986	05/27/2010	bur	1005270065
32.1340772 -110.9757986	05/27/2010	the	1005270160
32.1340772 -110.9757986	05/28/2010	sus	1005280689
32.1340772 -110.9757986	05/29/2010	dis	1005290636
32.1340772 -110.9757986	05/29/2010	sus	1005290569
32.1340772 -110.9757986	06/05/2010	sus	1006050298
32.1340772 -110.9757986	06/07/2010	fra	1006070329
32.1340772 -110.9757986	06/10/2010	the	1006100226
32.1340772 -110.9757986	06/14/2010	sus	1006140707
32.1340772 -110.9757986	06/15/2010	rob	1006140802
32.1340772 -110.9757986	06/19/2010	sus	1006190612
32.1340772 -110.9757986	06/20/2010	sus	1006200421
32.1340772 -110.9757986	06/28/2010	sus	1006280551
32.1340786 -110.9679349	06/09/2010	dru	1006090297
32.1340786 -110.9679349	06/09/2010	sus	1006090019
32.1340795 -110.9755123	05/22/2010	van	1005220282
32.1340795 -110.9755123	05/24/2010	ass	1005240681
32.1340795 -110.9755123	05/27/2010	sus	1005270785
32.1340795 -110.9755123	06/06/2010	sus	1006060297
32.1340795 -110.9755123	06/21/2010	veh	1006210116
32.1340819 -110.9615082	06/03/2010	sus	1006030087
32.1340928 -110.9845037	05/31/2010	the	1005310220
32.1340928 -110.9845037	06/02/2010	the	1006020193
32.1340928 -110.9845037	06/10/2010	sus	1006100721
32.1340928 -110.9845037	06/10/2010	sus	1006100766
32.1340928 -110.9845037	06/15/2010	the	1006150311
32.1340928 -110.9845037	06/21/2010	the	1006210312
32.1341099 -110.9683348	05/23/2010	the	1005230245
32.1341099 -110.9683348	05/28/2010	sus	1005280970
32.1341099 -110.9683348	05/28/2010	the	1005280949
32.1341099 -110.9683348	05/29/2010	ass	1005290076
32.1341099 -110.9683348	05/30/2010	ass	1005300501
32.1341099 -110.9683348	05/30/2010	the	1005300187
32.1341099 -110.9683348	05/31/2010	dis	1005310607
32.1341099 -110.9683348	05/31/2010	sus	1005310239
32.1341099 -110.9683348	06/02/2010	the	1006020134
32.1341099 -110.9683348	06/08/2010	bur	1006080062
32.1341099 -110.9683348	06/09/2010	bur	1006090068
32.1341099 -110.9683348	06/12/2010	dru	1006120102
32.1341099 -110.9683348	06/13/2010	the	1006130166
32.1341099 -110.9683348	06/21/2010	the	1006210008
32.1341099 -110.9683348	06/21/2010	the	1006210076
32.1341099 -110.9683348	06/23/2010	sus	1006230697
32.1341099 -110.9683348	06/26/2010	the	1006260491
32.1341099 -110.9683348	06/27/2010	the	1006270519
32.1341207 -110.8707394	06/29/2010	sus	1006280885
32.1341340 -110.9691768	05/22/2010	bur	1005220305
32.1341340 -110.9691768	05/24/2010	veh	1005240147
32.1341340 -110.9691768	05/26/2010	ass	1005250788
32.1341340 -110.9691768	05/26/2010	veh	1005260312
32.1341340 -110.9691768	05/28/2010	dis	1005280581
32.1341340 -110.9691768	05/29/2010	dis	1005290723
32.1341340 -110.9691768	05/30/2010	sus	1005300698
32.1341340 -110.9691768	05/31/2010	bur	1005310315
32.1341340 -110.9691768	06/01/2010	bur	1006010187
32.1341340 -110.9691768	06/02/2010	dis	1006020023
32.1341340 -110.9691768	06/05/2010	the	1006050160
32.1341340 -110.9691768	06/06/2010	ass	1006060610
32.1341340 -110.9691768	06/06/2010	ass	1006060637
32.1341340 -110.9691768	06/08/2010	ass	1006080036
32.1341340 -110.9691768	06/08/2010	dis	1006080377
32.1341340 -110.9691768	06/08/2010	the	1006080275
32.1341340 -110.9691768	06/13/2010	van	1006130276
32.1341340 -110.9691768	06/19/2010	sus	1006190737
32.1341340 -110.9691768	06/21/2010	ass	1006210622
32.1341340 -110.9691768	06/21/2010	veh	1006210160
32.1341340 -110.9691768	06/22/2010	ass	1006220189
32.1341340 -110.9691768	06/26/2010	bur	1006260355
32.1341340 -110.9691768	06/26/2010	sus	1006260443
32.1341340 -110.9691768	06/28/2010	dis	1006280030
32.1341340 -110.9691768	06/28/2010	sus	1006280786
32.1341340 -110.9692014	05/23/2010	ass	1005230791
32.1341340 -110.9692014	05/27/2010	ass	1005270841
32.1341340 -110.9692014	05/29/2010	ass	1005290103
32.1341340 -110.9692014	06/07/2010	dis	1006070061
32.1341340 -110.9692014	06/08/2010	the	1006080126
32.1341340 -110.9692014	06/10/2010	sus	1006100317
32.1341340 -110.9692014	06/21/2010	the	1006210714
32.1341340 -110.9692014	06/23/2010	ass	1006230068
32.1341340 -110.9692014	06/24/2010	sus	1006240524
32.1341340 -110.9692014	06/28/2010	sus	1006280571
32.1341824 -110.8749336	06/14/2010	sus	1006140251
32.1342104 -110.9056014	06/10/2010	rap	1006100384
32.1342247 -110.9218803	06/23/2010	sus	1006230417
32.1343180 -110.9996110	05/22/2010	sus	1005220466
32.1343180 -110.9996110	05/22/2010	the	1005220551
32.1343180 -110.9996110	05/27/2010	van	1005260752
32.1343180 -110.9996110	05/28/2010	the	1005280648
32.1343180 -110.9996110	05/28/2010	the	1005280725
32.1343180 -110.9996110	05/29/2010	sus	1005290710
32.1343180 -110.9996110	05/30/2010	the	1005300672
32.1343180 -110.9996110	06/01/2010	ass	1006010502
32.1343180 -110.9996110	06/02/2010	sus	1006020256
32.1343180 -110.9996110	06/03/2010	rob	1006030666
32.1343180 -110.9996110	06/05/2010	sus	1006050424
32.1343180 -110.9996110	06/07/2010	fra	1006070237
32.1343180 -110.9996110	06/07/2010	sus	1006070452
32.1343180 -110.9996110	06/07/2010	the	1006070298
32.1343180 -110.9996110	06/12/2010	the	1006120709
32.1343180 -110.9996110	06/13/2010	rob	1006130398
32.1343180 -110.9996110	06/13/2010	rob	1006130420
32.1343180 -110.9996110	06/13/2010	sus	1006130345
32.1343180 -110.9996110	06/14/2010	fra	1006140453
32.1343180 -110.9996110	06/14/2010	veh	1006140085
32.1343180 -110.9996110	06/16/2010	the	1006160482
32.1343180 -110.9996110	06/16/2010	the	1006160717
32.1343180 -110.9996110	06/17/2010	the	1006170439
32.1343180 -110.9996110	06/20/2010	the	1006200534
32.1343180 -110.9996110	06/24/2010	ass	1006240406
32.1343180 -110.9996110	06/24/2010	the	1006240466
32.1343180 -110.9996110	06/24/2010	veh	1006240012
32.1343180 -110.9996110	06/26/2010	the	1006260531
32.1343180 -110.9996110	06/27/2010	the	1006270360
32.1343180 -110.9996110	06/28/2010	sus	1006280525
32.1344540 -111.0069850	05/23/2010	the	1005230335
32.1344540 -111.0069850	05/26/2010	sus	1005260721
32.1344540 -111.0069850	05/27/2010	the	1005270395
32.1344540 -111.0069850	06/03/2010	dis	1006030515
32.1344540 -111.0069850	06/05/2010	van	1006050141
32.1344540 -111.0069850	06/15/2010	bur	1006150147
32.1344540 -111.0069850	06/16/2010	van	1006160103
32.1344540 -111.0069850	06/18/2010	van	1006170870
32.1344540 -111.0069850	06/21/2010	ass	1006210497
32.1344540 -111.0069850	06/22/2010	sus	1006220020
32.1344540 -111.0069850	06/26/2010	veh	1006260280
32.1353549 -111.0046790	05/27/2010	van	1005270491
32.1353549 -111.0046790	06/07/2010	the	1006070466
32.1353549 -111.0046790	06/09/2010	veh	1006090715
32.1353549 -111.0046790	06/22/2010	the	1006220557
32.1357589 -110.9797127	06/16/2010	dis	1006160844
32.1357601 -110.9638593	06/08/2010	bur	1006080518
32.1357681 -110.9777758	06/07/2010	fra	1006070486
32.1357681 -110.9777758	06/24/2010	fra	1006240183
32.1357681 -110.9777758	06/24/2010	fra	1006240227
32.1358384 -110.9679755	06/16/2010	sus	1006160048
32.1361816 -110.9990663	06/08/2010	van	1006080421
32.1363784 -110.9022131	06/19/2010	van	1006190678
32.1370531 -111.0055987	06/14/2010	van	1006140796
32.1371640 -110.9685600	05/23/2010	sus	1005230255
32.1371640 -110.9685600	06/05/2010	ass	1006050005
32.1372590 -111.0100563	05/24/2010	sus	1005240146
32.1372755 -111.0619890	06/05/2010	sex	1006050252
32.1373012 -110.9261784	06/15/2010	bur	1006140830
32.1374570 -111.0049810	06/05/2010	sus	1006050748
32.1374570 -111.0049810	06/23/2010	fra	1006230016
32.1375153 -110.9819565	06/01/2010	dis	1006010189
32.1375153 -110.9819565	06/03/2010	dis	1006030778
32.1375153 -110.9819565	06/05/2010	sus	1006050504
32.1375153 -110.9819565	06/13/2010	ass	1006130653
32.1375153 -110.9819565	06/22/2010	sus	1006220651
32.1375153 -110.9819565	06/27/2010	van	1006270092
32.1376294 -110.9679362	06/16/2010	sus	1006150757
32.1376709 -110.9562471	06/23/2010	rob	1006230235
32.1376819 -110.9562237	05/24/2010	sus	1005240031
32.1376819 -110.9562237	06/01/2010	dru	1006010040
32.1376819 -110.9562237	06/21/2010	dui	1006210453
32.1376956 -110.7717058	06/12/2010	ass	1006120035
32.1377145 -110.9299044	06/26/2010	veh	1006260292
32.1377159 -110.9615807	05/30/2010	veh	1005300139
32.1377159 -110.9615807	05/31/2010	sus	1005310641
32.1377230 -110.9131650	06/24/2010	dru	1006230719
32.1377920 -111.0081400	05/27/2010	the	1005270243
32.1377920 -111.0081400	05/27/2010	the	1005270267
32.1377920 -111.0081400	05/29/2010	sus	1005290769
32.1377920 -111.0081400	06/01/2010	ass	1006010553
32.1377920 -111.0081400	06/01/2010	sus	1006010049
32.1377920 -111.0081400	06/12/2010	van	1006120373
32.1377920 -111.0081400	06/15/2010	dis	1006150820
32.1377920 -111.0081400	06/16/2010	dru	1006160296
32.1379791 -110.9987235	06/17/2010	sus	1006170080
32.1381719 -110.9956297	06/15/2010	sus	1006150218
32.1382220 -111.0057350	06/10/2010	sex	1006100313
32.1382538 -111.0018099	05/22/2010	ass	1005220157
32.1382538 -111.0018099	06/20/2010	ass	1006200657
32.1384148 -110.9819525	06/14/2010	sus	1006130852
32.1385631 -110.9111217	06/27/2010	the	1006270471
32.1385746 -110.9679587	05/23/2010	sus	1005230035
32.1385910 -110.9679666	05/22/2010	dru	1005220885
32.1386302 -111.0010738	05/25/2010	van	1005250742
32.1387604 -110.9692185	05/25/2010	bur	1005250249
32.1388035 -110.9761005	06/27/2010	bur	1006270280
32.1390150 -110.9216900	06/05/2010	sus	1006050248
32.1390492 -110.9177152	05/23/2010	sus	1005230683
32.1390610 -110.9189340	05/24/2010	van	1005240242
